id,closed,family,seconds,accepted,objective24,evaluations,rejected_candidates,displacement,rho,final_quadrature_relative,base_bending,refined_bending,base_hausdorff_sampled,refined_hausdorff_sampled,base_condition,refined_condition,base_residual,refined_residual,base_quadrature_relative,refined_quadrature_relative
spiral_n16_jittered_s0,False,spiral,0.09608363600000303,True,0.9609921950643393,85,0,"[-0.012367725897666201, 0.006183862948833101, -0.015208824424870787, -0.00949759508591183, -0.006331730057274554, 0.018004031200989506, -0.006503945204810974, -0.011194613013699936, -0.01293793820248007, 0.01293793820248007, 0.015731021330711054, 0.0, -0.00825429154470459, -0.014046678552692177]",0.25,2.0037788390172504e-16,18.577482873715027,17.73006885601668,0.006221479986108927,0.004535028257597501,3.215715062002165,3.877489525724532,8.619316795866456e-17,1.218955471110455e-16,0.0,2.0037788390172504e-16
spiral_n16_clustered_s0,False,spiral,0.09726065799998196,True,0.9934300503976367,85,0,"[0.0, -0.002371907267458165, 0.006067415567637182, 0.0077384333579346605, 0.0228531123057854, -0.015808449093060374, -0.026253483928816768, -0.010223937255178048, 0.0, 0.0, 0.0, -0.0024491668036863354, 0.002338971480436207, 0.004677942960872414]",0.25,2.0540826299860637e-16,17.453396495075005,17.29586544833693,0.006851884644357234,0.0063803109847121835,3.1936428064123086,3.737406748608692,6.14372296064376e-17,6.332804675316669e-17,4.071085739446766e-16,2.0540826299860637e-16
ellipse_n8_uniform_s0,True,ellipse,0.06218077400001221,True,0.999845877251101,43,0,"[-0.007268491918594425, 0.0, 0.007268491918594425, 0.0, -0.007268491918594425, 0.0, 0.007268491918594425]",0.25,4.937085331848786e-16,21.598964387110104,21.587921455694907,0.0019437014916769326,0.0018467132671273082,3.0240841011307653,3.024265554080573,6.885310909710477e-17,6.158409296133417e-17,6.579414855502424e-16,4.937085331848786e-16
ellipse_n8_jittered_s0,True,ellipse,0.05518153399998482,True,0.9833521774688475,43,0,"[-0.006461747017306823, 0.013132816823158203, -0.007181257921904837, 0.015765458563533685, 0.015765458563533685, 0.02761885513253523, 0.03671189645775247]",0.25,1.6666407917401903e-16,21.788339128991726,21.316613012279657,0.013681749332910848,0.011421191459237895,3.2693450998729747,4.034724458933458,6.570429962246826e-17,1.2847718366381138e-16,4.89167208813071e-16,1.6666407917401903e-16
ellipse_n8_clustered_s0,True,ellipse,0.05407621599999857,True,0.9955572978905577,43,0,"[0.004182291137265456, 0.014971054931771746, -0.0329671349039412, 0.0109890449679804, -0.02255964560083567, 0.0, 0.00338649094613884]",0.25,6.096160915768388e-16,17.600897387153783,17.483365652033648,0.07667675021211988,0.0818693186072161,3.6691469785440813,4.018490552128887,1.512640746616551e-16,7.552861278408097e-17,6.055453197619611e-16,6.096160915768388e-16
ellipse_n16_uniform_s0,True,ellipse,0.10626385400001936,True,1.0,91,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.25,1.6571010371856677e-16,21.439330487863558,21.439330487863558,0.0005746268532615615,0.0005746268532615615,3.012648001549525,3.012648001549525,6.72199966263535e-17,6.72199966263535e-17,1.6571010371856677e-16,1.6571010371856677e-16
ellipse_n16_jittered_s0,True,ellipse,0.10323898900003314,True,0.9783520221031792,91,0,"[0.0, 0.011075144504478388, -0.009067274982144494, 0.007166687861971915, 0.01433337572394383, 0.018579595358029194, -0.005815283411040879, 0.0, -0.011823786838729172, 0.011823786838729172, 0.014089314103203382, -0.002207422458056614, 0.002207422458056614, -0.009989019525791398, -0.004994509762895699]",0.25,3.141901566750869e-16,23.23420484140325,22.615053994033712,0.01864378392083116,0.014717320868519465,3.2014931434212577,3.584582425103524,1.2819069712735472e-16,1.2819069712735472e-16,3.0581753953288564e-16,3.141901566750869e-16
ellipse_n16_clustered_s0,True,ellipse,0.10942755700000362,True,0.9834418752372852,91,0,"[0.0, 0.0, 0.0, 0.013468445038639257, 0.026559055834563777, -0.02873074447077599, -0.02586893136874291, -0.020189331059820265, 0.0, 0.009624993165115385, 0.0, -0.006000981964686132, 0.0, -0.0016892715114274898, 0.0]",0.25,1.6162817644451218e-16,22.438379353585567,21.98078179778367,0.017340301895582524,0.01955381760134827,3.2296904252595726,3.8400503093838956,6.218526663302924e-17,6.952524169520143e-17,1.8999841064186967e-15,1.6162817644451218e-16
flower_n8_uniform_s0,True,flower,0.06835995299996966,True,0.9652682888112731,43,0,"[0.021901410852565185, 0.02920188113675358, -0.023658221974776333, 0.0, 0.023658221974776343, -0.029201881136753594, -0.021901410852565195]",0.25,2.8683043461861097e-15,56.817395699781954,54.498889587876135,0.12033828067674002,0.12908551776159538,3.0069094278775776,3.2618961356985463,8.598803731256144e-17,7.706010718391115e-17,4.877232818108601e-15,2.8683043461861097e-15
flower_n8_jittered_s0,True,flower,0.08111916799998653,True,0.7997614544279426,43,0,"[-0.01308358840876668, -0.02616717681753336, -0.007144483591864197, 0.024422481092442508, 0.024422481092442508, 0.029475750836962494, -0.038090171739567885]",0.25,3.444248939507361e-14,236.4698706784776,187.31886556447674,0.16134213417098034,0.15666680989533524,3.1180709488166127,3.688402810923363,1.4332261269062082e-16,8.035535829910421e-17,9.495142186865816e-15,3.444248939507361e-14
flower_n8_clustered_s0,True,flower,0.0629636780000169,True,0.9220086871686372,43,0,"[0.02009524478187702, 0.022528033388930755, 0.042466644318061436, -0.04240826764009148, -0.028395958065178695, -0.02252104593674023, -0.012041684650456345]",0.25,1.6957060959259545e-15,45.88370496136613,41.902469860032106,0.14950734374332936,0.1528579329996327,3.358542504078734,4.968860055886726,8.572827486363708e-17,1.7295365206262025e-16,2.1680024115352575e-15,1.6957060959259545e-15
flower_n16_uniform_s0,True,flower,0.10414835699998548,True,0.9436304332437269,91,0,"[-0.013288015739225743, 0.006644007869612872, -0.015817314732941824, -0.014508549103170829, 0.007254274551585414, 0.0037886629248009562, -0.015154651699203825, 0.0, 0.015154651699203853, -0.007577325849601926, -0.0036271372757927106, 0.014508549103170842, 0.011862986049706363, -0.006644007869612861, 0.013288015739225723]",0.25,2.812959879313459e-15,237.0182130436046,222.28458076035398,0.01446505125976613,0.014800965717423975,3.0261379382011104,3.2944493497312117,7.738533362188109e-17,7.738533362188109e-17,3.597408283367898e-15,2.812959879313459e-15
flower_n16_jittered_s0,True,flower,0.11048120300000619,True,0.9013246473221341,91,0,"[0.012991856943640176, 0.012991856943640176, -0.018127226467490223, -0.011071123847909481, 0.0055355619239547404, 0.01919172302222262, -0.02166181244971127, -0.011683393900000033, -0.011683393900000033, 0.012379689524490756, 0.013572529046970372, -0.008828484822841154, 0.008828484822841154, -0.012422347929808814, 0.012422347929808814]",0.25,6.209604036566947e-16,205.29037999860768,183.08226587740552,0.14485353482744465,0.15915528434755427,3.2914163420725364,4.2337555016428725,7.198447963226229e-17,6.792569923561957e-17,3.0458203032851755e-15,6.209604036566947e-16
flower_n16_clustered_s0,True,flower,0.11307243699997116,True,0.9571555568400832,91,0,"[-0.0024723176750839687, -0.0070604215162224735, 0.011916727081159165, 0.0, 0.02235263758776515, 0.01316665452068308, 0.0, -0.004775376426378791, -0.016373232644427527, -0.012688510541708165, 0.0, -0.0024891190202313423, -0.002149438196584967, 0.0, 0.0]",0.25,1.895226952327309e-15,117.86219905475852,112.47350638733238,0.15288379503427804,0.15350433241408074,3.1330824666026307,3.729007000541139,7.716810302623299e-17,7.658154804301055e-17,2.773150858128758e-15,1.895226952327309e-15
