id,coarse,fine,absolute_change
sine_n8_uniform_s0,0.03352406006763404,0.0335230530423443,1.007025289739838e-06
sine_n8_jittered_s0,0.11508697359228205,0.11508649094618523,4.826460968249124e-07
sine_n8_clustered_s0,0.12520426779713048,0.12520426779713048,0.0
sine_n32_uniform_s0,0.0005367412885038964,0.00034211709109891646,0.00019462419740497996
sine_n32_jittered_s0,0.006715120384574003,0.0067095145679168505,5.605816657152166e-06
sine_n32_clustered_s0,0.011339549569605955,0.011334199076514078,5.350493091877545e-06
spiral_n8_uniform_s0,0.016397774180595178,0.016390879925282258,6.894255312920455e-06
spiral_n8_jittered_s0,0.08909129532476161,0.08908942779994629,1.8675248153188218e-06
spiral_n8_clustered_s0,0.03176921170343901,0.031765356626162436,3.855077276571084e-06
spiral_n32_uniform_s0,0.000989168949546438,0.0008590688933097187,0.00013010005623671924
spiral_n32_jittered_s0,0.006715814815111664,0.006684496650978918,3.131816413274539e-05
spiral_n32_clustered_s0,0.0027042193632853687,0.0026535365392822714,5.0682824003097336e-05
ellipse_n8_uniform_s0,0.0019437014916769326,0.0018915987736769137,5.2102718000018866e-05
ellipse_n8_jittered_s0,0.013681749332910848,0.013663584316451094,1.816501645975424e-05
ellipse_n8_clustered_s0,0.07667675021211988,0.07667427324058046,2.4769715394196146e-06
ellipse_n32_uniform_s0,0.0005817582049858906,0.0002906390341346216,0.000291119170851269
ellipse_n32_jittered_s0,0.006498780718155783,0.0064500264175064844,4.875430064929867e-05
ellipse_n32_clustered_s0,0.0045049421882509405,0.004470145928689373,3.4796259561567684e-05
flower_n8_uniform_s0,0.12033828067674002,0.12033816641353813,1.1426320188634431e-07
flower_n8_jittered_s0,0.16134213417098034,0.16134217779868043,4.362770009147532e-08
flower_n8_clustered_s0,0.14950734374332936,0.14950579851049667,1.5452328326892584e-06
flower_n32_uniform_s0,0.002475597070461982,0.002444025786790067,3.1571283671915154e-05
flower_n32_jittered_s0,0.029632486339445,0.0296252330976469,7.253241798101107e-06
flower_n32_clustered_s0,0.029203164851741747,0.029195057105611467,8.107746130279342e-06
