shift,method,seam_position,seam_angle_deg,seam_d1,seam_d2,curvature_left,curvature_right,speed_left,speed_right,bending,aligned_origin_change
0,direct,2.92269693980993e-18,46.59822703998176,0.7459659596956459,1.8225973848008687,-4.178762367916198e-15,1.1802079252772703e-14,1.0236363298493636,1.19558257938441,19.727740005764492,2.92269693980993e-18
0,geometric,6.235086804927851e-17,0.0,0.14381796163639282,1.9844106824307841,9.715622505405153e-14,3.671757989751503e-14,0.5118181649246819,0.5977912896922053,30.941501643989923,6.235086804927851e-17
0,speed_matched,9.742323132699767e-19,0.0,9.821628138528665e-16,1.8697407023758168,9.715622505405153e-14,1.0446905919790489e-14,0.5118181649246819,0.5118181649246819,31.821389983799303,9.742323132699767e-19
0,periodic,3.507236327771916e-17,8.537736462515939e-07,3.6470839834114607e-16,1.6257539293944717e-15,5.141443421952121,5.141443421952132,1.9342015401256385,1.9342015401256383,26.74501617683823,3.507236327771916e-17
1,direct,0.0,36.1114547201708,0.5950738372396447,1.8036231303610974,1.4502939318488026e-15,1.613500600648831e-14,1.4566087217921564,1.0569023143499936,22.163439660603817,0.030452514836135626
1,geometric,6.235086804927851e-17,0.0,0.274408907115687,1.8967433325222696,-8.701763591092807e-15,3.796472001526664e-14,0.7283043608960784,0.5284511571749966,28.755701755888015,0.08491254516412743
1,speed_matched,6.235086804927851e-17,0.0,1.3804359716450047e-15,1.8091402150082831,-8.701763591092807e-15,1.7403527182185668e-14,0.7283043608960784,0.7283043608960776,27.596482382367796,0.07675879109631654
1,periodic,8.817744322102495e-17,8.537736462515939e-07,2.654100706394997e-16,8.499129988049415e-16,3.7862247610804083,3.7862247610804065,2.1012131013472874,2.101213101347287,26.74501617683824,1.2344842050943493e-15
2,direct,3.1175434024639254e-17,22.711372428151492,0.3900224654812242,1.9508318484666909,-2.040824659300525e-15,-2.6620054106324097e-15,1.299849340834425,1.4988860003220168,25.256252487307595,0.019658095069890295
2,geometric,4.408872161051247e-17,0.0,0.13278972479883816,1.9897832989249773,-1.0204123296502627e-14,-6.655013526581024e-15,0.6499246704172125,0.7494430001610084,26.130720480297455,0.1333334455626848
2,speed_matched,0.0,8.537736462515939e-07,0.0,1.876161757975767,-1.0204123296502627e-14,-2.040824659300525e-15,0.6499246704172125,0.6499246704172125,26.413542248779134,0.14180536510984332
2,periodic,4.408872161051247e-17,1.2074182697257333e-06,1.2164593590920786e-16,9.35824264736008e-16,2.2928856620227456,2.292885662022746,2.2922390028445356,2.292239002844535,26.74501617683823,9.269122908755592e-16
3,direct,3.896929253079907e-18,13.00341173271824,0.2624522241302906,1.9797014491060951,-5.010314337829017e-15,0.0,0.9635477867243106,1.1480970591337876,25.53395564736891,0.019749175683988908
3,geometric,3.1175434024639254e-17,0.0,0.160743615656254,1.9925161656657164,-3.7577357533717644e-15,-1.0366137828178794e-14,0.4817738933621552,0.5740485295668938,27.58003607573803,0.07651042460829462
3,speed_matched,3.1175434024639254e-17,0.0,2.086824445946301e-15,1.832975528599328,-3.7577357533717644e-15,-2.1920125228001936e-14,0.4817738933621552,0.4817738933621554,27.91091202321031,0.08235517416605809
3,periodic,6.426980370403116e-17,0.0,0.0,1.920303588069094e-15,1.010254917138921,1.0102549171389186,1.7526651902223715,1.7526651902223715,26.74501617683823,1.036319445788904e-15
4,direct,3.485519485357661e-17,12.349167009259133,0.3015116509710135,1.8465439783424313,-6.113691091302296e-15,-2.550085305478374e-14,1.2237905308996597,0.935381500673203,25.69226263479428,0.019628737816693484
4,geometric,3.1175434024639254e-17,0.0,0.2356686237917163,1.857254498993782,-7.336429309562756e-15,-6.845866591888252e-15,0.6118952654498299,0.4676907503366015,26.816318217184634,0.06795066523867377
4,speed_matched,3.1175434024639254e-17,0.0,0.0,1.8916038085602718,-7.336429309562756e-15,-2.5677502583469646e-14,0.6118952654498299,0.6118952654498299,26.668439897241527,0.0746735133756003
4,periodic,5.620231295534075e-17,0.0,5.632718904100399e-16,1.5116285802422319e-15,1.7712227410576824,1.7712227410576833,1.8256136632629123,1.8256136632629112,26.745016176838263,7.138085210425585e-16
5,direct,3.1175434024639254e-17,13.655074752499907,0.36268560193190236,1.841379145263131,3.991670405006332e-15,-1.5503498566167045e-14,0.8249608891624971,1.184606995876818,25.364116132338687,0.019588083862102954
5,geometric,3.1175434024639254e-17,0.0,0.30359951272119406,1.8544486926483446,-9.979176012515788e-14,-1.8873824341420772e-14,0.4124804445812491,0.5923034979384088,25.429132422153575,0.06795054303929278
